tag	cell	method	fold	true	info	mc1	mc2	args
uns_qw_qa	qw_qa	unsteered	0	0.8411	0.5746	0.4425	0.6165	method=unsteered
uns_qw_qa	qw_qa	unsteered	1	0.8407	0.5662	0.4461	0.6469	method=unsteered
uns_qw_ch	qw_ch	unsteered	0	0.8826	0.9560	0.4450	0.6310	method=unsteered
uns_qw_ch	qw_ch	unsteered	1	0.8407	0.9681	0.4804	0.6481	method=unsteered
iti_qw_ch_a22	qw_ch	iti	0	0.8900	0.8753	0.3839	0.5651	method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=48 iti_scale=22
iti_qw_ch_a22	qw_ch	iti	1	0.9240	0.9510	0.4363	0.6226	method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=48 iti_scale=22
iti_qw_ch_k96	qw_ch	iti	0	0.8655	0.9535	0.3790	0.5323	method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=96 iti_scale=15
iti_qw_ch_k96	qw_ch	iti	1	0.8260	0.9657	0.4069	0.5703	method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=96 iti_scale=15
sp_qw_ch_l0.003_ep16_all	qw_ch	sparse	0	0.9780	0.9487	0.5575	0.7674	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=all
sp_qw_ch_l0.003_ep16_all	qw_ch	sparse	1	0.9853	0.9142	0.6029	0.7493	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=all
sp_qw_ch_l0.01_ep8_all	qw_ch	sparse	0	0.9658	0.9609	0.5403	0.7376	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=8 steer_token_position=all
sp_qw_ch_l0.01_ep8_all	qw_ch	sparse	1	0.9730	0.9338	0.5539	0.7300	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=8 steer_token_position=all
iti_qw_qa_a15	qw_qa	iti	0	0.7995	0.5428	0.3374	0.4803	method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=48 iti_scale=15
iti_qw_qa_a15	qw_qa	iti	1	0.8554	0.5564	0.4534	0.6397	method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=48 iti_scale=15
iti_qw_qa_a30	qw_qa	iti	0	0.9804	0.0147	0.0000		method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=48 iti_scale=30
iti_qw_qa_a30	qw_qa	iti	1	0.9657	0.0147	0.0000		method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=48 iti_scale=30
iti_qw_qa_k96	qw_qa	iti	0	0.8606	0.5990	0.2910	0.4982	method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=96 iti_scale=15
iti_qw_qa_k96	qw_qa	iti	1	0.8995	0.3922	0.3578	0.5544	method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=96 iti_scale=15
iti_qw_qa_k128	qw_qa	iti	0	0.8973	0.5428	0.3350	0.5383	method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=128 iti_scale=15
iti_qw_qa_k128	qw_qa	iti	1	0.8848	0.5858	0.3848	0.5777	method=iti extract_token_position=completion_final steer_token_position=answer_gen iti_topk=128 iti_scale=15
sp_qw_qa_l0_ep16_all	qw_qa	sparse	0	0.9853	0.9707	0.6308	0.7870	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=all
sp_qw_qa_l0_ep16_all	qw_qa	sparse	1	0.9853	0.9485	0.6373	0.7783	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=all
sp_qw_qa_l0.003_ep16_all	qw_qa	sparse	0	0.9878	0.9804	0.6210	0.7810	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=all
sp_qw_qa_l0.003_ep16_all	qw_qa	sparse	1	0.9804	0.9534	0.6299	0.7788	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=all
iti_qw_qa_paper	qw_qa	iti	0	0.8117	0.3814	0.2518	0.3830	method=iti extract_token_position=completion_final iti_topk=48 iti_scale=15 steer_token_position=all
iti_qw_qa_paper	qw_qa	iti	1	0.8211	0.4436	0.3137	0.4782	method=iti extract_token_position=completion_final iti_topk=48 iti_scale=15 steer_token_position=all
